id,dictionary,ordinal,name,description,active,details
956f9dc9-12af-4660-af9d-c912af366024,THERAPEUTIC_AREA,1,Obesity,,true,
19fba994-cea0-48de-bba9-94cea048de1a,THERAPEUTIC_AREA,2,Diabetes,,true,
2a408184-9803-4873-8081-849803c87369,THERAPEUTIC_AREA,3,Pulmonology,,true,
af10d9ba-31c0-457d-90d9-ba31c0357d28,THERAPEUTIC_AREA,4,Cancer,,true,
6a315dfb-830c-4ce1-b15d-fb830c9ce1cd,PROJECT_CODE,1,Code 1,,true,
b1ed07fb-cf39-448d-ad07-fbcf39848dec,PROJECT_CODE,2,Code 2,,true,
eeafb8f1-2d82-4e6d-afb8-f12d826e6d7c,PROJECT_CODE,3,Code 3,,true,
39ed9ac6-c1b5-43f7-ad9a-c6c1b503f7e2,STEREOISOMER_CODE,1,NOSTC,Achiral - No Stereo Centers,true,
a9ac9912-82de-4052-ac99-1282de705246,STEREOISOMER_CODE,2,AMESO,Achiral - Meso Stereomers,true,
e9f319c4-31cd-4a38-b319-c431cd7a3807,STEREOISOMER_CODE,3,CISTR,Achiral - Cis/Trans Stereomers,true,
9e1f0536-3712-42cd-9f05-36371292cddd,STEREOISOMER_CODE,4,SNENK,Single Enantiomer (chirality known),true,
11574422-0010-420d-9744-220010220d18,STEREOISOMER_CODE,5,RMCMX,Racemic (stereochemistry known),true,
0025baff-792e-4e0d-a5ba-ff792e4e0d37,STEREOISOMER_CODE,6,ENENK,Enantio-Enriched (chirality known),true,
67a97f31-8f7b-4db0-a97f-318f7badb09d,STEREOISOMER_CODE,7,DSTRK,Diastereomers (stereochemistry known),true,
a293b619-a511-4df7-93b6-19a511edf75a,STEREOISOMER_CODE,8,SNENU,Other - Single Enantiomer (chirality unknown),true,
d2ee1eed-f02b-4931-ae1e-edf02b793104,STEREOISOMER_CODE,9,LRCMX,Other - Racemic (relative stereochemistry unknown),true,
d99e6768-2a23-4870-9e67-682a236870ec,STEREOISOMER_CODE,10,ENENU,Other - Enantio-Enriched (chirality unknown),true,
fb0ea20a-192c-4fae-8ea2-0a192c5faed8,STEREOISOMER_CODE,11,DSTRU,Other - Diastereomers (relative stereochemistry unknown),true,
24188eb6-3f4d-404e-988e-b63f4d904e0b,STEREOISOMER_CODE,12,UNKWN,Other - Unknown Stereomer/Mixture,true,
d22cd428-2879-45f9-acd4-28287985f99f,STEREOISOMER_CODE,13,HSREG,Flag for automatic stereoisomer code assignment for multi-registration,true,
6114103f-0559-44ca-9410-3f055924ca70,STEREOISOMER_CODE,14,ACHIR,ACHIRAL,true,
0663781e-4829-4965-a378-1e48299965a0,STEREOISOMER_CODE,15,HOMO,HOMO-CHIRAL,true,
bc31a79a-4938-4957-b1a7-9a4938a957c9,STEREOISOMER_CODE,16,MESO,MESO,true,
eac61b9c-d9ad-41ab-861b-9cd9ade1ab83,STEREOISOMER_CODE,17,RACEM,RACEMIC,true,
